,PROPERTIES PAGE,property_name,area,address,sell_price,rent_price,bedrooms,living_rooms,years,efficiency_ratio,lat,long
566,32,Palm Court,Happy Valley/East Mid Level ,Middle Floor|  Palm Court| Happy Valley/East Mid Level ,1550,38000,2.0,1.0,21.0,62.0,42.3486922,-72.5682945
567,32,Wan Chai,Causeway Bay ,Flat D| Middle Floor|  Sung Lan Mansion| Admiralty| Wan Chai| Causeway Bay ,1400,38000,2.0,2.0,54.0,79.0,22.2859787,114.1914919
568,32,Wan Chai,Causeway Bay ,Flat C| High Floor|  Empire Court| Admiralty| Wan Chai| Causeway Bay ,1350,38000,2.0,2.0,61.0,80.0,22.2859787,114.1914919
569,32,Grand Promenade,Sai Wan Ho ,Flat D| High Floor|  Block 6| Grand Promenade| Sai Wan Ho ,2380,38000,,,13.0,72.0,22.2824738,114.2227035
570,32,Residence Bel-Air,Pokfulam/Residence ,Flat A| Middle Floor|  Block 1| Phase 1| Residence Bel-Air| Pokfulam/Residence ,2600,38000,2.0,2.0,15.0,83.0,22.2679201,114.1290719
571,32,37 Village Terrace,Happy Valley/East Mid Level ,Middle Floor|  Village Terrace 37| 37 Village Terrace| Happy Valley/East Mid Level ,3000,38000,3.0,2.0,59.0,80.0,42.3486922,-72.5682945
572,32,The Belcher's,Western/Sheung Wan Central ,Flat D| High Floor|  Block 3| Phase 1| The Belcher's| Western/Sheung Wan Central ,1950,38000,2.0,2.0,18.0,78.0,37.0937489,-95.7127622
573,32,Discovery Park,Tsuen Wan ,Flat D| Low Floor|  Block 09| Phase 3| Discovery Park| Tsuen Wan ,850,38000,3.0,2.0,21.0,80.0,22.3699122,114.1144306
574,32,Ocean Shores,Tseung Kwan O ,Flat H| Low Floor|  Block 09| Phase 2| Ocean Shores| Tseung Kwan O ,868,38000,2.0,1.0,17.0,73.0,22.3119357,114.2568776
575,32,Floral Villas,Sai Kung , House -| Floral Villas| Sai Kung ,4000,38000,,,25.0,79.0,22.383689,114.2707867
576,33,Excelsior Court,Western Mid-Levels ,Flat B| High Floor|  Excelsior Court| Western Mid-Levels ,2800,38000,3.0,2.0,30.0,84.0,22.2816223,114.147865
577,33,Telford Gardens,Amoy/Kowloon Bay ,Flat 12| Middle Floor|  Block B| Telford Gardens| Amoy/Kowloon Bay ,770,38000,1.0,2.0,38.0,89.0,24.479833,118.089425
578,33,Echo Peak Tower,North Point & North Point Midlevel ,Low Floor|  Echo Peak Tower| North Point & North Point Midlevel ,1380,38000,3.0,2.0,31.0,71.0,37.1222422,-94.47484299999999
579,33,Parisian,Stanley/Tai Tam/Shek O ,Low Floor|  Parisian| Stanley/Tai Tam/Shek O ,4500,38000,3.0,2.0,29.0,80.0,37.09024,-95.712891
580,33,Lung Poon Court,Wong Tai Sin ,Flat 4| Middle Floor|  Block E| Lung Poon Court| Wong Tai Sin ,660,38000,2.0,2.0,32.0,74.0,37.7775324,-122.4637922
581,33,Villa Rosa,Stanley/Tai Tam/Shek O , 88 Red Hill Road (House)| Villa Rosa| Stanley/Tai Tam/Shek O ,18000,38000,4.0,2.0,22.0,84.0,37.09024,-95.712891
582,33,The Masterpiece,Tsim Sha Tsui ,Flat F| High Floor|  The Masterpiece| Tsim Sha Tsui ,4300,38000,2.0,1.0,10.0,72.0,22.2988123,114.1721746
583,33,Hamden Court,Kwun Tong ,Flat 4| Low Floor|  Block B| Hamden Court| Kwun Tong ,580,38000,,,34.0,,22.3103686,114.2227035
584,33,The Wings,Tseung Kwan O ,Flat D|  Block 3B| Phase 3A| The Wings| Tseung Kwan O ,800,38000,,,3.0,,22.3119357,114.2568776
585,33,Harbour Green,Olympic Station ,Flat D| High Floor|  Block 6| Harbour Green| Olympic Station ,1200,38000,,,12.0,77.0,34.050229,-118.2911404
586,33,South Bay Towers,Repulse Bay & Shouson Hill ,Flat B| Middle Floor|  South Bay Towers| Repulse Bay & Shouson Hill ,7500,38000,3.0,2.0,34.0,78.0,22.245883,114.177979
587,33,One Beacon Hill,Kln Tong / Beacon Hill ,High Floor|  Block 18| Phase 4| One Beacon Hill| Kln Tong / Beacon Hill ,5300,38000,4.0,2.0,15.0,74.0,22.3369319,114.1763367
588,33,Metro City,Tseung Kwan O ,Flat G| Low Floor|  Block 03| Phase 2| Metro City| Tseung Kwan O ,646,38000,,,19.0,70.0,22.3119357,114.2568776
589,33,Lei King Wan,Sai Wan Ho ,Flat H| High Floor|  Kwun King Mansion| Site A| Lei King Wan| Sai Wan Ho ,1598,38000,3.0,2.0,31.0,90.0,22.2824738,114.2227035
590,33,Valiant Park,Western Mid-Levels ,Flat G| Middle Floor|  Valiant Park| Western Mid-Levels ,2068,38000,3.0,2.0,26.0,81.0,22.2816223,114.147865
591,33,Forfar,Kln Tong / Beacon Hill ,Flat A| Low Floor|  The Forfar| Forfar| Kln Tong / Beacon Hill ,5000,38000,4.0,2.0,9.0,72.0,22.3369319,114.1763367
592,33,Po Tak Mansion,Happy Valley/East Mid Level ,Flat B| High Floor|  Po Tak Mansion| Happy Valley/East Mid Level ,1680,38000,3.0,,56.0,80.0,42.3486922,-72.5682945
593,33,Lei King Wan,Sai Wan Ho ,Flat C| Low Floor|  Yat Wah Mansion| Site B| Lei King Wan| Sai Wan Ho ,1150,38000,2.0,2.0,31.0,86.0,22.2824738,114.2227035
594,34,Excelsior Court,Western Mid-Levels ,Flat B| High Floor|  Excelsior Court| Western Mid-Levels ,2800,38000,3.0,2.0,30.0,84.0,22.2816223,114.147865
595,34,Telford Gardens,Amoy/Kowloon Bay ,Flat 12| Middle Floor|  Block B| Telford Gardens| Amoy/Kowloon Bay ,770,38000,1.0,2.0,38.0,89.0,24.479833,118.089425
596,34,Echo Peak Tower,North Point & North Point Midlevel ,Low Floor|  Echo Peak Tower| North Point & North Point Midlevel ,1380,38000,3.0,2.0,31.0,71.0,37.1222422,-94.47484299999999
597,34,Parisian,Stanley/Tai Tam/Shek O ,Low Floor|  Parisian| Stanley/Tai Tam/Shek O ,4500,38000,3.0,2.0,29.0,80.0,37.09024,-95.712891
598,34,Lung Poon Court,Wong Tai Sin ,Flat 4| Middle Floor|  Block E| Lung Poon Court| Wong Tai Sin ,660,38000,2.0,2.0,32.0,74.0,37.7775324,-122.4637922
599,34,Villa Rosa,Stanley/Tai Tam/Shek O , 88 Red Hill Road (House)| Villa Rosa| Stanley/Tai Tam/Shek O ,18000,38000,4.0,2.0,22.0,84.0,37.09024,-95.712891
600,34,The Masterpiece,Tsim Sha Tsui ,Flat F| High Floor|  The Masterpiece| Tsim Sha Tsui ,4300,38000,2.0,1.0,10.0,72.0,22.2988123,114.1721746
601,34,Hamden Court,Kwun Tong ,Flat 4| Low Floor|  Block B| Hamden Court| Kwun Tong ,580,38000,,,34.0,,22.3103686,114.2227035
602,34,The Wings,Tseung Kwan O ,Flat D|  Block 3B| Phase 3A| The Wings| Tseung Kwan O ,800,38000,,,3.0,,22.3119357,114.2568776
603,34,Harbour Green,Olympic Station ,Flat D| High Floor|  Block 6| Harbour Green| Olympic Station ,1200,38000,,,12.0,77.0,34.050229,-118.2911404
604,34,South Bay Towers,Repulse Bay & Shouson Hill ,Flat B| Middle Floor|  South Bay Towers| Repulse Bay & Shouson Hill ,7500,38000,3.0,2.0,34.0,78.0,22.245883,114.177979
605,34,One Beacon Hill,Kln Tong / Beacon Hill ,High Floor|  Block 18| Phase 4| One Beacon Hill| Kln Tong / Beacon Hill ,5300,38000,4.0,2.0,15.0,74.0,22.3369319,114.1763367
606,34,Metro City,Tseung Kwan O ,Flat G| Low Floor|  Block 03| Phase 2| Metro City| Tseung Kwan O ,646,38000,,,19.0,70.0,22.3119357,114.2568776
607,34,Lei King Wan,Sai Wan Ho ,Flat H| High Floor|  Kwun King Mansion| Site A| Lei King Wan| Sai Wan Ho ,1598,38000,3.0,2.0,31.0,90.0,22.2824738,114.2227035
608,34,Valiant Park,Western Mid-Levels ,Flat G| Middle Floor|  Valiant Park| Western Mid-Levels ,2068,38000,3.0,2.0,26.0,81.0,22.2816223,114.147865
609,34,Forfar,Kln Tong / Beacon Hill ,Flat A| Low Floor|  The Forfar| Forfar| Kln Tong / Beacon Hill ,5000,38000,4.0,2.0,9.0,72.0,22.3369319,114.1763367
610,34,Po Tak Mansion,Happy Valley/East Mid Level ,Flat B| High Floor|  Po Tak Mansion| Happy Valley/East Mid Level ,1680,38000,3.0,,56.0,80.0,42.3486922,-72.5682945
611,34,Lei King Wan,Sai Wan Ho ,Flat C| Low Floor|  Yat Wah Mansion| Site B| Lei King Wan| Sai Wan Ho ,1150,38000,2.0,2.0,31.0,86.0,22.2824738,114.2227035
612,35,Metro City,Tseung Kwan O ,Flat C| Middle Floor|  Block 9| Phase 2| Metro City| Tseung Kwan O ,698,38000,1.0,2.0,19.0,70.0,22.3119357,114.2568776
613,35,High West,Western Mid-Levels ,Flat D| High Floor|  High West| Western Mid-Levels ,790,38000,1.0,2.0,5.0,72.0,22.2816223,114.147865
614,35,Sun Yuen Long Centre,Yuen Long ,Flat G| High Floor|  Block 4| Sun Yuen Long Centre| Yuen Long ,720,38000,2.0,2.0,25.0,81.0,22.4445376,114.0222076
615,35,Hampton Place,Olympic Station ,Flat C| High Floor|  Block 1| Hampton Place| Olympic Station ,1080,38000,2.0,2.0,15.0,74.0,34.050229,-118.2911404
616,35,Wilton Place,Western Mid-Levels ,Flat B| High Floor|  Wilton Place| Western Mid-Levels ,1350,38000,2.0,2.0,21.0,76.0,22.2816223,114.147865
617,35,Belcher's Hill,Western/Sheung Wan Central ,Flat D| High Floor|  Belcher's Hill| Western/Sheung Wan Central ,5280,38000,3.0,2.0,8.0,,37.0937489,-95.7127622
618,35,Whampoa Garden,Hung Hom/Whampoa ,Flat D| High Floor|  Block 08| Site 5| Whampoa Garden| Hung Hom/Whampoa ,950,38000,2.0,2.0,31.0,87.0,22.3055658,114.1887233
619,35,No.2 Park Road,Western Mid-Levels ,Flat A| High Floor|  Park Road 2| No.2 Park Road| Western Mid-Levels ,1700,38000,3.0,2.0,15.0,72.0,22.2816223,114.147865
620,35,Telford Gardens,Amoy/Kowloon Bay ,Flat 8| High Floor|  Block I| Telford Gardens| Amoy/Kowloon Bay ,730,38000,2.0,2.0,38.0,90.0,24.479833,118.089425
621,35,Mountain Court,Homantin/Kingspark ,Flat D| High Floor|  Block A| Mountain Court| Homantin/Kingspark ,2300,40000,3.0,2.0,34.0,83.0,22.318507,114.1755339
622,35,Metro City,Tseung Kwan O ,Flat H| Low Floor|  Block 03| Phase 1| Metro City| Tseung Kwan O ,788,40000,3.0,2.0,22.0,72.0,22.3119357,114.2568776
623,35,Kornville,Quarry Bay ,Flat F| Middle Floor|  Block 2| Kornville| Quarry Bay ,835,40000,2.0,2.0,23.0,76.0,22.2827206,114.2123009
624,35,The Waterfront,Kowloon Station ,Flat F| Low Floor|  Block 2| Phase 1| The Waterfront| Kowloon Station ,2200,40000,3.0,2.0,18.0,81.0,22.304306,114.161475
625,35,The Pacifica,Lai Chi Kok ,Low Floor|  Block 3| Phase 1| The Pacifica| Lai Chi Kok ,1650,40000,4.0,2.0,14.0,76.0,22.3377817,114.1359272
626,35,Wan Chai,Causeway Bay ,Flat C| Middle Floor|  Tower A| Tonnochy Towers| Admiralty| Wan Chai| Causeway Bay ,650,40000,1.0,2.0,44.0,83.0,22.2859787,114.1914919
627,35,18 Upper East,Sai Wan Ho ,Flat D| Middle Floor|  18 Upper East| Sai Wan Ho ,690,40000,1.0,,6.0,72.0,22.2824738,114.2227035
628,35,High Point,Sham Shui Po ,Flat D| High Floor|  High Point| Sham Shui Po ,788,40000,2.0,1.0,5.0,71.0,22.3285899,114.1602846
